ComputerName,Timestamp,CpuUsage,RamUsage,FreeDiskGbInC,DiskUsagePercentInC
WINSRV-JCRUZ,2023-10-6 14:7:49,37.63,31.73,50.49,31.56
WINSRV-JCRUZ,2023-10-6 13:54:37,57.55,94.33,55.13,31.48
WINSRV-JCRUZ,2023-10-6 1:0:35,12.29,38.19,52.98,33.21
WINSRV-JCRUZ,2023-10-6 7:57:3,8.72,43.06,53.33,32.32
WINSRV-JCRUZ,2023-10-6 3:25:50,26.71,97.7,55.35,30.82
WINSRV-JCRUZ,2023-10-6 17:58:19,25.84,99.74,51.76,32.05
WINSRV-JCRUZ,2023-10-6 20:4:6,81.61,61.55,50.55,32.98
WINSRV-JCRUZ,2023-10-6 7:9:18,54.21,44.77,53.78,32.27
WINSRV-JCRUZ,2023-10-6 6:59:38,46.23,62,52.86,32.18
WINSRV-JCRUZ,2023-10-6 13:36:14,89.36,21.52,54.2,32.31
